Billy_Apple	[20160601,20160602,20160603,20160604,20160605]	[37,28,78,20,30]	193	63
Apple_Bank_for_Savings	[20160601,20160602,20160603,20160604,20160605]	[38,46,47,41,21]	193	25
Ambrosia_(apple)	[20160601,20160602,20160603,20160604,20160605]	[33,22,40,76,20]	191	81
Erik_Apple	[20160601,20160602,20160603,20160604,20160605]	[16,55,35,52,32]	190	48
William_Appleman_Williams	[20160601,20160602,20160603,20160604,20160605]	[38,46,40,32,33]	189	21
Stuart_Appleby	[20160601,20160602,20160603,20160604,20160605]	[35,32,63,35,22]	187	53
Apple_Boutique	[20160601,20160602,20160603,20160604,20160605]	[33,25,53,43,33]	187	71
Apple_Interactive_Television_Box	[20160601,20160602,20160603,20160604,20160605]	[33,36,42,29,47]	187	49
Apple_Design_Awards	[20160601,20160602,20160603,20160604,20160605]	[33,46,46,32,29]	186	28
Apple_Network_Server	[20160601,20160602,20160603,20160604,20160605]	[46,33,47,29,31]	186	28
Apple_tree	[20160601,20160602,20160603,20160604,20160605]	[56,31,32,29,36]	184	10
Apple_GS/OS	[20160601,20160602,20160603,20160604,20160605]	[51,33,36,34,30]	184	16
Bramley_apple	[20160601,20160602,20160603,20160604,20160605]	[37,33,38,45,31]	184	44
Apple_Inc._design_motifs	[20160601,20160602,20160603,20160604,20160605]	[45,31,37,32,37]	182	30
Apple_Partition_Map	[20160601,20160602,20160603,20160604,20160605]	[42,38,36,31,35]	182	22
Jonathan_(apple)	[20160601,20160602,20160603,20160604,20160605]	[44,28,30,49,31]	182	38
Apple_maggot	[20160601,20160602,20160603,20160604,20160605]	[38,45,48,25,25]	181	15
Appletons'_Cyclopædia_of_American_Biography	[20160601,20160602,20160603,20160604,20160605]	[58,35,35,23,27]	178	-8
Crabapple	[20160601,20160602,20160603,20160604,20160605]	[37,37,41,29,33]	177	29
Fred_Applegate_(actor)	[20160601,20160602,20160603,20160604,20160605]	[32,29,59,28,28]	176	54
Mark_Applebaum	[20160601,20160602,20160603,20160604,20160605]	[39,35,51,25,26]	176	28
